selection,director,year_rev,voter,voter_url,voter_role,voter_critic_or_director,voter_country
Man With A Movie Camera,Dziga Vertov,1929,Adam Hyman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-hyman,"Executive Director, Los Angeles Filmforum",critic,USA
Citizen Kane,Orson Welles,1941,Adam McKay,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-mckay,Director,director,USA
Network,Sidney Lumet,1976,Adam McKay,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-mckay,Director,director,USA
Gong Fu,Stephen Chiau,2004,Adam McKay,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-mckay,Director,director,USA
L'avventura,Michelangelo Antonioni,1960,Adam McKay,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-mckay,Director,director,USA
Do The Right Thing,Spike Lee,1989,Adam McKay,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-mckay,Director,director,USA
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Adam McKay,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-mckay,Director,director,USA
The Sound Of Music,Robert Wise,1965,Adam McKay,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-mckay,Director,director,USA
A Separation,Asghar Farhadi,2011,Adam McKay,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-mckay,Director,director,USA
Office Space,Mike Judge,1999,Adam McKay,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-mckay,Director,director,USA
Blue Velvet,David Lynch,1986,Adam McKay,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-mckay,Director,director,USA
Touch Of Evil,Orson Welles,1958,Adam Murray,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-murray,Film Programmer/Curator Bristol Black Horror Club,critic,UK
Killer Of Sheep,Charles Burnett,1977,Adam Murray,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-murray,Film Programmer/Curator Bristol Black Horror Club,critic,UK
Merry Christmas Mr. Lawrence,Nagisa Oshima,1982,Adam Murray,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-murray,Film Programmer/Curator Bristol Black Horror Club,critic,UK
Ganja & Hess,Bill Gunn,1973,Adam Murray,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-murray,Film Programmer/Curator Bristol Black Horror Club,critic,UK
Night Of The Living Dead,George A. Romero,1968,Adam Murray,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-murray,Film Programmer/Curator Bristol Black Horror Club,critic,UK
Children Of Men,Alfonso Cuarón,2006,Adam Murray,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-murray,Film Programmer/Curator Bristol Black Horror Club,critic,UK
Utu,Geoff Murphy,1983,Adam Murray,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-murray,Film Programmer/Curator Bristol Black Horror Club,critic,UK
Blue Collar,Paul Schrader,1978,Adam Murray,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-murray,Film Programmer/Curator Bristol Black Horror Club,critic,UK
Malcolm X,Spike Lee,1992,Adam Murray,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-murray,Film Programmer/Curator Bristol Black Horror Club,critic,UK
Daughters Of The Dust,Julie Dash,1991,Adam Murray,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-murray,Film Programmer/Curator Bristol Black Horror Club,critic,UK
L' Âge D'or,Luis Buñuel,1930,Adam Nayman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-nayman,"Contributing Editor, Cinema Scope",critic,Canada
Céline And Julie Go Boating,Jacques Rivette,1974,Adam Nayman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-nayman,"Contributing Editor, Cinema Scope",critic,Canada
Cure,Kiyoshi Kurosawa,1998,Adam Nayman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-nayman,"Contributing Editor, Cinema Scope",critic,Canada
Don't Look Now,Nicolas Roeg,1973,Adam Nayman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-nayman,"Contributing Editor, Cinema Scope",critic,Canada
Duck Amuck,Chuck Jones,1951,Adam Nayman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-nayman,"Contributing Editor, Cinema Scope",critic,Canada
La Jetée,Chris Marker,1962,Adam Nayman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-nayman,"Contributing Editor, Cinema Scope",critic,Canada
The Intruder,Claire Denis,2004,Adam Nayman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-nayman,"Contributing Editor, Cinema Scope",critic,Canada
The Manchurian Candidate,John Frankenheimer,1962,Adam Nayman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-nayman,"Contributing Editor, Cinema Scope",critic,Canada
Meshes Of The Afternoon,"Maya Deren, Alexander Hackenschmied",1943,Adam Nayman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-nayman,"Contributing Editor, Cinema Scope",critic,Canada
The Shining,Stanley Kubrick,1980,Adam Nayman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-nayman,"Contributing Editor, Cinema Scope",critic,Canada
Atanarjuat: The Fast Runner,Zacharias Kunuk,2001,Adam Piron,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-piron,"Director, Sundance Institute's Indigenous Program + Co-Founder, COUSIN",critic,USA
The Colour Of Pomegranates,Sergei Paradjanov,1968,Adam Piron,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-piron,"Director, Sundance Institute's Indigenous Program + Co-Founder, COUSIN",critic,USA
Zodiac,David Fincher,2007,Adam Piron,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-piron,"Director, Sundance Institute's Indigenous Program + Co-Founder, COUSIN",critic,USA
"Goodbye, Dragon Inn",Tsai Ming-liang,2003,Adam Piron,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-piron,"Director, Sundance Institute's Indigenous Program + Co-Founder, COUSIN",critic,USA
Killer Of Sheep,Charles Burnett,1977,Adam Piron,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-piron,"Director, Sundance Institute's Indigenous Program + Co-Founder, COUSIN",critic,USA
Meshes Of The Afternoon,"Maya Deren, Alexander Hackenschmied",1943,Adam Piron,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-piron,"Director, Sundance Institute's Indigenous Program + Co-Founder, COUSIN",critic,USA
Close-Up,Abbas Kiarostami,1989,Adam Piron,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-piron,"Director, Sundance Institute's Indigenous Program + Co-Founder, COUSIN",critic,USA
Mulholland Dr.,David Lynch,2001,Adam Piron,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-piron,"Director, Sundance Institute's Indigenous Program + Co-Founder, COUSIN",critic,USA
Kiss Me Deadly,Robert Aldrich,1955,Adam Piron,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-piron,"Director, Sundance Institute's Indigenous Program + Co-Founder, COUSIN",critic,USA
Vertigo,Alfred Hitchcock,1958,Adam Piron,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-piron,"Director, Sundance Institute's Indigenous Program + Co-Founder, COUSIN",critic,USA
Ordet,Carl Th. Dreyer,1955,Adam Roberts,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-roberts,writer/curator,critic,UK
Mouchette,Robert Bresson,1966,Adam Roberts,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-roberts,writer/curator,critic,UK
Tokyo Story,Yasujirō Ozu,1953,Adam Roberts,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-roberts,writer/curator,critic,UK
"Jeanne Dielman, 23 Quai Du Commerce, 1080 Bruxelles",Chantal Akerman,1975,Adam Roberts,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-roberts,writer/curator,critic,UK
L' Eclisse,Michelangelo Antonioni,1962,Adam Roberts,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-roberts,writer/curator,critic,UK
Nostalgia For The Light,Patricio Guzmán,2010,Adam Roberts,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-roberts,writer/curator,critic,UK
The Quince Tree Sun,Víctor Erice,1992,Adam Roberts,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-roberts,writer/curator,critic,UK
Letter From An Unknown Woman,Max Ophuls,1948,Adam Roberts,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-roberts,writer/curator,critic,UK
2 Ou 3 Choses Que Je Sais D'elle,Jean-Luc Godard,1967,Adam Roberts,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-roberts,writer/curator,critic,UK
Zendegi Va Digar Hich...,Abbas Kiarostami,1992,Adam Roberts,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-roberts,writer/curator,critic,UK
F For Fake,Orson Welles,1973,Adam Scovell,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-scovell,Writer,critic,UK
The Night Of The Hunter,Charles Laughton,1955,Adam Scovell,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-scovell,Writer,critic,UK
Stalker,Andrei Tarkovsky,1979,Adam Scovell,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-scovell,Writer,critic,UK
The Wicker Man,Robin Hardy,1973,Adam Scovell,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-scovell,Writer,critic,UK
Blowup,Michelangelo Antonioni,1966,Adam Scovell,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-scovell,Writer,critic,UK
The Time Machine,George Pal,1960,Adam Scovell,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-scovell,Writer,critic,UK
Rear Window,Alfred Hitchcock,1954,Adam Scovell,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-scovell,Writer,critic,UK
Whistle And I'll Come To You,Jonathan Miller,1968,Adam Scovell,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-scovell,Writer,critic,UK
Série Noire,Alain Corneau,1979,Adam Scovell,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-scovell,Writer,critic,UK
Cléo From 5 To 7,Agnès Varda,1962,Adam Scovell,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-scovell,Writer,critic,UK
Kind Hearts And Coronets,Robert Hamer,1949,Adam Solomons,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-solomons,Journalist,critic,UK
Bicycle Thieves,Vittorio De Sica,1948,Adam Solomons,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-solomons,Journalist,critic,UK
Amadeus,Milos Forman,1984,Adam Solomons,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-solomons,Journalist,critic,UK
Citizen Kane,Orson Welles,1941,Adam Solomons,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-solomons,Journalist,critic,UK
It Happened One Night,Frank Capra,1934,Adam Solomons,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-solomons,Journalist,critic,UK
All About My Mother,Pedro Almodóvar,1999,Adam Solomons,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-solomons,Journalist,critic,UK
Amator,Krzysztof Kieslowski,1979,Adam Solomons,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-solomons,Journalist,critic,UK
The Quiet Man,John Ford,1952,Adam Solomons,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-solomons,Journalist,critic,UK
Brokeback Mountain,Ang Lee,2005,Adam Solomons,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-solomons,Journalist,critic,UK
Madeo,Bong Joon-ho,2009,Adam Solomons,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-solomons,Journalist,critic,UK
Kind Hearts And Coronets,Robert Hamer,1949,Adam Woodward,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-woodward,"Editor-At-Large, Little White Lies",critic,UK
Wings Of Desire,Wim Wenders,1987,Adam Woodward,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-woodward,"Editor-At-Large, Little White Lies",critic,UK
The Green Ray,Eric Rohmer,1986,Adam Woodward,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-woodward,"Editor-At-Large, Little White Lies",critic,UK
Killer Of Sheep,Charles Burnett,1977,Adam Woodward,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-woodward,"Editor-At-Large, Little White Lies",critic,UK
The Life And Death Of Colonel Blimp,"Michael Powell, Emeric Pressburger",1943,Adam Woodward,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-woodward,"Editor-At-Large, Little White Lies",critic,UK
The Night Of The Hunter,Charles Laughton,1955,Adam Woodward,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-woodward,"Editor-At-Large, Little White Lies",critic,UK
Harlan County Usa,Barbara Kopple,1976,Adam Woodward,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-woodward,"Editor-At-Large, Little White Lies",critic,UK
Ikiru,Akira Kurosawa,1952,Adam Woodward,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-woodward,"Editor-At-Large, Little White Lies",critic,UK
City Lights,Charles Chaplin,1931,Adam Woodward,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-woodward,"Editor-At-Large, Little White Lies",critic,UK
The Treasure Of The Sierra Madre,John Huston,1947,Adam Woodward,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adam-woodward,"Editor-At-Large, Little White Lies",critic,UK
Al Makhdou-Oun,Tewfik Saleh,1972,Adham Youssef,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adham-youssef,Film Researcher,critic,Egypt
Ran,Akira Kurosawa,1985,Adham Youssef,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adham-youssef,Film Researcher,critic,Egypt
Bab Al-Hadid,Youssef Chahine,1958,Adham Youssef,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adham-youssef,Film Researcher,critic,Egypt
Blackkklansman,Spike Lee,2018,Adham Youssef,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adham-youssef,Film Researcher,critic,Egypt
Bus Driver,Atef al-Tayeb,1982,Adham Youssef,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adham-youssef,Film Researcher,critic,Egypt
"Too Early, Too Late","Jean-Marie Straub, Danièle Huillet",1982,Adham Youssef,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adham-youssef,Film Researcher,critic,Egypt
Come And See,Elem Klimov,1985,Adham Youssef,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adham-youssef,Film Researcher,critic,Egypt
Paris Is Burning,Jennie Livingston,1990,Adham Youssef,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adham-youssef,Film Researcher,critic,Egypt
Western,Valeska Grisebach,2017,Adham Youssef,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adham-youssef,Film Researcher,critic,Egypt
In The Last Days Of The City,Tamer El Said,2016,Adham Youssef,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adham-youssef,Film Researcher,critic,Egypt
His Girl Friday,Howard Hawks,1939,Adina Hoffman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adina-hoffman,Writer,critic,USA
Sullivan's Travels,Preston Sturges,1941,Adina Hoffman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adina-hoffman,Writer,critic,USA
Notorious,Alfred Hitchcock,1946,Adina Hoffman,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adina-hoffman,Writer,critic,USA
Sarineui Chueok,Bong Joon-ho,2003,Aditya Assarat,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aditya-assarat,Film Director,director,Thailand
Manhattan,Woody Allen,1979,Aditya Assarat,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aditya-assarat,Film Director,director,Thailand
Chungking Express,Wong Kar Wai,1994,Aditya Assarat,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aditya-assarat,Film Director,director,Thailand
Yi Yi,Edward Yang,1999,Aditya Assarat,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aditya-assarat,Film Director,director,Thailand
Boyhood,Richard Linklater,2014,Aditya Assarat,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aditya-assarat,Film Director,director,Thailand
There Will Be Blood,Paul Thomas Anderson,2007,Aditya Assarat,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aditya-assarat,Film Director,director,Thailand
Turning Gate,Hong Sang Soo,2002,Aditya Assarat,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aditya-assarat,Film Director,director,Thailand
Syndromes And A Century,Apichatpong Weerasethakul,2006,Aditya Assarat,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aditya-assarat,Film Director,director,Thailand
The Godfather,Francis Ford Coppola,1972,Aditya Assarat,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aditya-assarat,Film Director,director,Thailand
Jaws,Steven Spielberg,1975,Aditya Assarat,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/aditya-assarat,Film Director,director,Thailand
Pather Panchali,Satyajit Ray,1955,Adoor Gopalakrishnan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adoor-gopalakrishnan,Filmmaker,director,India
La Strada,Federico Fellini,1954,Adoor Gopalakrishnan,https://www.bfi.org.uk//sight-and-sound/greatest-films-all-time/all-voters/adoor-gopalakrishnan,Filmmaker,director,India
